City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
222,hermanus,-34.4187,19.2345,18.78,70,100,5.45,ZA,1731251276
223,darchula,29.8412,80.5287,11.44,79,100,0.08,NP,1731251277
224,muisne,0.6,-80.0333,24.49,77,100,3.02,EC,1731251279
225,lebu,-37.6167,-73.65,14.01,69,11,3.8,CL,1731251280
226,bridgewater,44.3835,-64.5155,5.35,61,10,5.36,CA,1731251281
227,macon,39.8667,-88.9668,15.03,67,100,6.17,US,1731251282
228,cabedelo,-6.9811,-34.8339,30.37,61,26,6.83,BR,1731251283
229,sungailiat,-1.85,106.1333,26.5,86,90,1.55,ID,1731251284
230,taltal,-25.4,-70.4833,19.26,69,1,2.77,CL,1731251285
231,celestun,20.8667,-90.4,28.16,73,100,2.2,MX,1731251286
232,veraval,20.9,70.3667,27.79,64,0,2.3,IN,1731251287
233,esquel,-42.9,-71.3167,8.76,75,69,5.39,AR,1731251152
234,alice springs,-23.7,133.8833,23.75,57,75,7.72,AU,1731251289
235,bikenibeu village,1.3673,173.1241,27.79,76,98,5.11,KI,1731251290
236,vilyuchinsk,52.9306,158.4028,-3.62,78,100,2.63,RU,1731251291
237,hithadhoo,-0.6,73.0833,28.43,71,35,5.3,MV,1731251293
238,proletarsk,46.7031,41.7192,7.3,62,0,2.3,RU,1731251294
239,tiksi,71.6872,128.8694,-18.86,99,86,1.89,RU,1731251295
240,diplo,24.4667,69.584,28.24,36,0,4.15,PK,1731251296
241,east london,-33.0153,27.9116,17.49,83,100,3.2,ZA,1731251297
242,taksimo,56.3444,114.8794,-14.39,90,94,0.94,RU,1731251299
243,mersing,2.4312,103.8405,25.49,92,85,1.03,MY,1731251300
244,tazacorte,28.629,-17.9293,24.54,73,0,3.09,ES,1731251301
245,sodra sandby,56.5667,16.6167,7.16,87,100,3.07,SE,1731251302
246,nouadhibou,20.931,-17.0347,24.0,49,0,3.24,MR,1731251303
247,paros,37.0833,25.15,16.28,63,20,10.29,GR,1731251304
248,dakoro,14.5106,6.765,30.03,11,95,5.16,NE,1731251305
249,atafu village,-8.5421,-172.5159,28.34,67,63,5.44,TK,1731251306
250,namibe,-15.1961,12.1522,22.89,69,88,5.96,AO,1731251307
251,tres lagoas,-20.7511,-51.6783,30.29,53,8,3.79,BR,1731251228
252,prestea,5.4327,-2.1428,29.9,64,93,2.49,GH,1731251309
253,dapa,9.7594,126.0531,27.99,80,68,5.4,PH,1731251310
254,ugoofaaru,5.6667,73.0,28.44,68,11,2.25,MV,1731251312
255,newcastle,-32.9272,151.7765,20.4,85,100,6.17,AU,1731251313
256,hinton,53.4001,-117.5857,-2.45,88,63,1.9,CA,1731251120
257,hami,42.8,93.45,7.95,44,0,2.61,CN,1731251315
258,lompoc,34.6391,-120.4579,6.4,65,0,2.57,US,1731251316
259,skowhegan,44.7651,-69.7192,6.28,51,55,2.36,US,1731251317
260,fairfield glade,36.0004,-84.8863,16.86,67,100,5.14,US,1731251318
261,richards bay,-28.783,32.0377,22.03,85,96,2.44,ZA,1731251319
262,ciudad lazaro cardenas,17.9583,-102.2,27.22,76,81,1.23,MX,1731251320
263,nebraska city,40.6767,-95.8592,7.74,88,0,6.17,US,1731251165
264,nuuk,64.1835,-51.7216,-2.66,86,75,3.6,GL,1731251322
265,altai,46.3722,96.2583,-6.4,56,8,14.53,MN,1731251323
266,nar'yan-mar,67.6713,53.087,-8.89,84,17,3.4,RU,1731251325
267,tralee,52.2704,-9.7026,12.32,84,100,2.09,IE,1731251326
268,guanhaes,-18.775,-42.9325,23.11,84,77,2.21,BR,1731251327
269,enewetak,11.3474,162.3373,28.59,78,100,9.29,MH,1731251328
270,sibolga,1.7427,98.7792,25.51,85,68,0.65,ID,1731251329
271,ventspils,57.3894,21.5606,4.96,93,100,1.54,LV,1731251330
272,al fallujah,33.3538,43.7795,24.38,31,92,1.5,IQ,1731251331
273,malvan,16.0667,73.4667,27.88,66,6,3.94,IN,1731251332
274,whitehorse,60.7161,-135.0538,-3.16,79,100,5.36,CA,1731251333
275,mombetsu,44.3525,143.3525,12.11,67,100,7.04,JP,1731251334
276,kamaishi,39.2667,141.8833,12.39,90,97,2.5,JP,1731251335
277,ola,59.5833,151.2833,-12.91,68,100,4.61,RU,1731251336
278,afaahiti,-17.75,-149.2833,24.17,87,99,8.24,PF,1731251338
279,biltine,14.5333,20.9167,33.6,16,100,3.23,TD,1731251339
280,chernyshevskiy,63.0128,112.4714,-11.17,93,100,3.55,RU,1731251340
281,al qusayr,34.5091,36.5798,18.32,36,35,5.17,SY,1731257318
282,jeddah,21.5169,39.2192,30.92,58,0,3.6,SA,1731257169
283,shevchenko,48.5,35.0,6.55,61,37,2.12,UA,1731257320
284,cidreira,-30.1811,-50.2056,21.59,63,0,7.43,BR,1731257322
285,motueka,-41.1333,173.0167,12.28,73,25,4.14,NZ,1731257323
286,den chai,17.9837,100.0522,24.47,96,0,0.67,TH,1731257324
287,trapani,37.8333,12.6667,17.41,88,40,2.57,IT,1731257325
288,velikiy ustyug,60.7644,46.3106,0.61,94,99,4.05,RU,1731257326
289,dali,25.7,100.1833,11.36,83,0,1.46,CN,1731257327
290,miyako,39.6367,141.9525,10.37,86,64,2.23,JP,1731257329
291,xining,36.6167,101.7667,6.51,65,90,1.68,CN,1731257330
292,hengchun,22.0042,120.7439,25.65,83,42,7.67,TW,1731257331
293,kitimat,54.0524,-128.6534,1.06,29,100,0.85,CA,1731257333
294,vorgashor,67.5833,63.95,-15.86,98,82,4.09,RU,1731256864
295,mishan,45.55,131.8833,-0.22,69,0,3.63,CN,1731257335
296,saint-jean-d'angely,45.95,-0.5167,14.15,88,99,2.24,FR,1731257336
297,sitka,57.0531,-135.33,7.94,53,100,10.29,US,1731257337
298,tondano,1.3038,124.9112,20.05,99,32,0.22,ID,1731257338
299,kruisfontein,-34.0033,24.7314,15.13,78,77,3.44,ZA,1731257339
300,fuling,29.7022,107.3919,18.78,75,49,0.86,CN,1731257340
301,tanah merah,5.8,102.15,23.7,99,100,0.63,MY,1731257341
302,osakarovka,50.565,72.5692,-0.61,96,100,9.95,KZ,1731257342
303,goure,13.9835,10.2704,26.44,15,68,4.07,NE,1731257344
304,kingston,17.997,-76.7936,30.65,70,20,4.12,JM,1731256746
305,macusani,-14.0833,-70.4333,11.35,51,73,4.39,PE,1731257346
306,kirando,-7.4167,30.6,24.92,75,29,4.19,TZ,1731257347
307,aydincik,36.1437,33.3202,15.85,87,91,4.09,TR,1731257348
308,crane,31.3974,-102.3501,19.28,16,0,3.52,US,1731257303
309,gustavia,17.8962,-62.8498,29.12,86,98,2.24,BL,1731257350
310,encarnacion,-27.3333,-55.9,30.29,42,0,2.57,PY,1731257351
311,kapit,2.0167,112.9333,22.84,99,100,0.45,MY,1731257352
312,igarka,67.4667,86.5833,-11.33,94,100,4.84,RU,1731257353
313,aliaga,15.5167,120.8667,24.55,95,100,2.17,PH,1731257355
314,sousse,35.8254,10.637,20.88,73,40,1.54,TN,1731257356
315,nizhneangarsk,55.7833,109.55,-8.27,78,100,2.6,RU,1731257357
316,lerwick,60.1545,-1.1494,10.13,82,100,7.58,GB,1731257358
317,mbandaka,0.0487,18.2603,21.54,92,100,1.16,CD,1731257359
318,afega,-13.7973,-171.8531,26.0,94,75,3.09,WS,1731257360
319,filadelfia,39.9523,-75.1638,14.56,46,100,3.6,US,1731257190
320,am timan,11.0297,20.2827,29.85,26,99,1.78,TD,1731257362
321,shagonar,51.5333,92.8,-2.38,51,100,0.72,RU,1731257363
322,uliastay,47.7417,96.8444,-11.13,74,8,3.65,MN,1731257364
323,ouezzane,34.7971,-5.5822,20.1,51,1,2.56,MA,1731257365
324,fort st. john,56.2499,-120.8529,-4.06,86,75,3.09,CA,1731257366
325,castel,49.791,2.4548,7.43,82,37,2.76,FR,1731257368
326,three rivers,41.9439,-85.6325,13.25,94,100,3.6,US,1731257369
327,hollidaysburg,40.4273,-78.3889,12.04,55,100,4.63,US,1731257365
328,ashland,40.8167,-82.2665,12.37,97,100,7.01,US,1731257206
329,sao caetano de odivelas,-0.75,-48.02,31.98,54,59,5.93,BR,1731257372
330,arkhangel'sk,64.5401,40.5433,2.06,93,75,2.0,RU,1731257267
331,black point,-34.6187,137.8972,17.41,75,95,3.4,AU,1731257374
332,san julian,21.0167,-102.1667,23.24,41,16,0.87,MX,1731257375
333,newman,37.3138,-121.0208,15.71,34,99,0.43,US,1731257376
334,pinhao,-25.6956,-51.6597,26.49,42,6,2.16,BR,1731257378
335,aldan,58.6031,125.3894,-13.14,95,100,2.48,RU,1731257379
336,vorkuta,67.5,64.0,-16.01,98,84,4.16,RU,1731257380
337,jangaon,17.7167,79.1833,22.08,60,6,2.88,IN,1731257381
338,shohimardon,39.9839,71.8028,5.74,66,65,1.57,UZ,1731257382
